stock_code,result
600051,"
StockCode: 600051, Final Capital: 13446.0 CNY, Winning Rate: 40.0%, 持仓：0, 最后一次购买日期为：2025-05-15 00:00:00, 买入价格：7.18"
600037,"
StockCode: 600037, Final Capital: 8658.0 CNY, Winning Rate: 40.62%, 持仓：0, 最后一次购买日期为：2025-04-28 00:00:00, 买入价格：7.02"
600054,"
StockCode: 600054, Final Capital: 6301.0 CNY, Winning Rate: 25.0%, 持仓：0, 最后一次购买日期为：2025-04-16 00:00:00, 买入价格：12.64"
600060,"
StockCode: 600060, Final Capital: 12114.0 CNY, Winning Rate: 33.33%, 持仓：0, 最后一次购买日期为：2025-05-09 00:00:00, 买入价格：25.04"
600058,"
StockCode: 600058, Final Capital: 11434.0 CNY, Winning Rate: 26.47%, 持仓：1, 最后一次购买日期为：2025-04-25 00:00:00, 买入价格：7.06"
600063,"
StockCode: 600063, Final Capital: 12294.0 CNY, Winning Rate: 33.33%, 持仓：0, 最后一次购买日期为：2025-04-25 00:00:00, 买入价格：4.54"
600062,"
StockCode: 600062, Final Capital: 20364.0 CNY, Winning Rate: 34.29%, 持仓：1, 最后一次购买日期为：2025-04-28 00:00:00, 买入价格：18.67"
600061,"
StockCode: 600061, Final Capital: 12085.0 CNY, Winning Rate: 32.26%, 持仓：0, 最后一次购买日期为：2025-04-30 00:00:00, 买入价格：6.84"
600064,"
StockCode: 600064, Final Capital: 9726.0 CNY, Winning Rate: 27.78%, 持仓：0, 最后一次购买日期为：2025-04-25 00:00:00, 买入价格：7.47"
600059,"
StockCode: 600059, Final Capital: 6720.0 CNY, Winning Rate: 17.65%, 持仓：1, 最后一次购买日期为：2025-04-25 00:00:00, 买入价格：9.19"
600070,"
StockCode: 600070, Final Capital: 7464.0 CNY, Winning Rate: 29.03%, 持仓：0, 最后一次购买日期为：2025-02-11 00:00:00, 买入价格：1.42"
600067,"
StockCode: 600067, Final Capital: 13674.0 CNY, Winning Rate: 41.94%, 持仓：1, 最后一次购买日期为：2025-04-28 00:00:00, 买入价格：2.37"
600078,"
StockCode: 600078, Final Capital: 44278.0 CNY, Winning Rate: 34.48%, 持仓：1, 最后一次购买日期为：2025-04-28 00:00:00, 买入价格：5.22"
600066,"
StockCode: 600066, Final Capital: 14834.0 CNY, Winning Rate: 33.33%, 持仓：0, 最后一次购买日期为：2025-04-15 00:00:00, 买入价格：25.45"
600073,"
StockCode: 600073, Final Capital: 8931.0 CNY, Winning Rate: 32.35%, 持仓：0, 最后一次购买日期为：2025-04-23 00:00:00, 买入价格：8.32"
600075,"
StockCode: 600075, Final Capital: 5743.0 CNY, Winning Rate: 28.57%, 持仓：0, 最后一次购买日期为：2025-05-12 00:00:00, 买入价格：4.21"
600071,"
StockCode: 600071, Final Capital: 18172.0 CNY, Winning Rate: 18.75%, 持仓：1, 最后一次购买日期为：2025-04-30 00:00:00, 买入价格：19.92"
600072,"
StockCode: 600072, Final Capital: 8776.0 CNY, Winning Rate: 25.71%, 持仓：0, 最后一次购买日期为：2025-05-08 00:00:00, 买入价格：12.27"
600081,"
StockCode: 600081, Final Capital: 5988.0 CNY, Winning Rate: 18.75%, 持仓：1, 最后一次购买日期为：2025-05-23 00:00:00, 买入价格：15.39"
600076,"
StockCode: 600076, Final Capital: 9324.0 CNY, Winning Rate: 31.25%, 持仓：1, 最后一次购买日期为：2025-04-25 00:00:00, 买入价格：2.09"
600085,"
StockCode: 600085, Final Capital: 14424.0 CNY, Winning Rate: 36.67%, 持仓：1, 最后一次购买日期为：2025-05-08 00:00:00, 买入价格：36.88"
600079,"
StockCode: 600079, Final Capital: 7472.0 CNY, Winning Rate: 26.47%, 持仓：1, 最后一次购买日期为：2025-05-23 00:00:00, 买入价格：20.88"
600080,"
StockCode: 600080, Final Capital: 7158.0 CNY, Winning Rate: 27.78%, 持仓：0, 最后一次购买日期为：2025-05-09 00:00:00, 买入价格：7.35"
600082,"
StockCode: 600082, Final Capital: 19811.0 CNY, Winning Rate: 36.11%, 持仓：1, 最后一次购买日期为：2025-05-28 00:00:00, 买入价格：3.79"
